case_id,title,domain,subdomains,relation_type,complexity_level,source_status,source_title,source_pages
01_contraindicacao_nota_isolada_feedback,Nota isolada como avaliação formativa insuficiente,education,avaliação formativa;feedback,contraindication,1,adapted,Avaliação Sem Mistério,3-10
02_escopo_rubrica_descritores_observaveis,Rubrica só orienta quando contém descritores claros,education,rubricas;critérios,scope,1,adapted,Avaliação Sem Mistério,"19-25, 55-61"
03_precondicao_feedback_criterio_evidencia,Feedback acionável depende de critérios e evidências,education,feedback;avaliação formativa,precondition,1,adapted,Avaliação Sem Mistério,34-40
04_dependencia_temporal_evidencia_durante_atividade,Avaliação formativa acontece durante a aprendizagem,education,coleta de evidências;avaliação formativa,temporal_dependency,1,adapted,Avaliação Sem Mistério,26-33
05_precondicao_bncc_evidencias_observaveis,Habilidade da BNCC precisa virar evidência observável,education,BNCC;evidências de aprendizagem,precondition,2,adapted,Avaliação Sem Mistério,11-18
06_override_erro_como_evidencia_replanejamento,"Erro recorrente deve orientar intervenção, não punição",education,erros;replanejamento,override,2,adapted,Avaliação Sem Mistério,"26-33, 41-47"
07_precondicao_autoavaliacao_observacao_docente,Autoavaliação precisa ser confrontada com evidências docentes,education,autoavaliação;metacognição,precondition,2,adapted,Avaliação Sem Mistério,55-61
08_sequencia_replanejamento_semanal_dados,Replanejamento semanal segue evidências antes da intervenção,education,replanejamento;dados pedagógicos,sequence,2,adapted,Avaliação Sem Mistério,"41-47, 55-61"
09_precondicao_atencao_antes_explicacao,Atenção é pré-condição para aprendizagem significativa,education,atenção;neuroeducação,precondition,1,adapted,Orientações Baseadas no Cérebro para Transformar Ensino em Aprendizagem,45-52
10_contraindicacao_ansiedade_pressao,Pressão emocional é contraindicada quando a ansiedade já bloqueia a aprendizagem,education,emoções;ambiente seguro,contraindication,1,adapted,Orientações Baseadas no Cérebro para Transformar Ensino em Aprendizagem,"86-94, 103-111"
11_sequencia_blocos_curto_atividade,Aula longa deve ser organizada em blocos de atenção,education,atenção;planejamento de aula,sequence,2,adapted,Orientações Baseadas no Cérebro para Transformar Ensino em Aprendizagem,"11-15, 39-41"
12_precondicao_conhecimento_previo_ponte,Conhecimento novo deve se conectar ao que o aluno já sabe,education,aprendizagem significativa;conhecimento prévio,precondition,2,adapted,Orientações Baseadas no Cérebro para Transformar Ensino em Aprendizagem,"19-21, 41-44"
13_sequencia_pratica_distribuida_memoria,"Consolidação exige repetição distribuída, não revisão única",education,memória;prática distribuída,sequence,2,adapted,Orientações Baseadas no Cérebro para Transformar Ensino em Aprendizagem,70-77
14_escopo_relevancia_sustenta_interesse,"Surpresa capta atenção, mas relevância sustenta interesse",education,relevância;engajamento,scope,2,adapted,Orientações Baseadas no Cérebro para Transformar Ensino em Aprendizagem,48-61
15_excecao_interacao_social_segura,Interação social precisa ser positiva e emocionalmente segura,education,interação social;segurança emocional,exception,3,adapted,Orientações Baseadas no Cérebro para Transformar Ensino em Aprendizagem,"62-69, 86-94"
16_contraindicacao_fluxo_desafio_habilidade,Fluxo exige equilíbrio entre desafio e habilidade,education,fluxo;diferenciação pedagógica,contraindication,3,adapted,Orientações Baseadas no Cérebro para Transformar Ensino em Aprendizagem,78-85
17_precondicao_solo_pedregoso_bases,Aluno com lacunas precisa de raízes antes de tarefas complexas,education,conhecimento prévio;lacunas de aprendizagem,precondition,3,adapted,Orientações Baseadas no Cérebro para Transformar Ensino em Aprendizagem,16-24
18_override_solo_espinhos_emocao,Condição emocional pode ter prioridade sobre nova explicação de conteúdo,education,emoções;gestão de sala,override,3,adapted,Orientações Baseadas no Cérebro para Transformar Ensino em Aprendizagem,"19-22, 86-94, 103-111"
19_sequencia_ciclo_avaliacao_formativa,Ciclo formativo só se completa com feedback e replanejamento,education,ciclo avaliativo;rubricas;replanejamento,sequence,3,adapted,Avaliação Sem Mistério,"48-54, 55-61"
20_sequencia_aula_baseada_cerebro,"Aula baseada no cérebro exige cadeia de atenção, relevância, atividade e consolidação",education,planejamento de aula;neuroeducação,sequence,3,adapted,Orientações Baseadas no Cérebro para Transformar Ensino em Aprendizagem,"11-15, 45-61, 70-77, 86-94, 112-121"
